Operations_ID,Product_ID,Product_Name,Product_Category,Production_Date,Production_Quantity,Quality_Metrics,Quantity_in_Stock,Quantity_Sold,Supplier_ID,Supplier_Name,Lead_Time,Employee_ID,Employee_Name,Shift_Information,Maintenance_Type,Downtime_Duration,Energy_Consumption_Data,Production_Time,Downtime_Events,Employee_Rating,Downtime_Reason
244,6,Microwave Ovens,Home Appliances,8/13/2023,894,Passed,439,455,7,Ferguson Inc,3,2,Ashley Herring,Night Shift,Routine Maintenance,none,1076.39358,4.325268381,0,4,Human Error
245,4,Diesel Generator,Industrial Machinery,7/13/2023,499,Passed,498,1,5,Hawkins-Miller,8,3,Melissa Kim,Afternoon Shift,Routine Maintenance,3.430267777,898.3219318,4.184516186,1,4,Technical Issues
246,7,Industrial Cookers,Industrial Machinery,7/27/2023,336,Passed,335,1,7,Ferguson Inc,4,10,Cheryl Nunez,Night Shift,Routine Maintenance,4.642234355,1048.253119,3.853166937,2,3,Human Error
247,4,Diesel Generator,Industrial Machinery,7/26/2023,291,In-Between,142,149,5,Hawkins-Miller,4,7,Victor Hernandez,Night Shift,Repairs,3.51208292,1324.871693,5.204514669,1,4,Material Shortage
248,6,Microwave Ovens,Home Appliances,8/9/2023,858,Passed,443,415,9,Lawson-Herrera,9,4,Megan Allen,Night Shift,Routine Maintenance,4.739862954,1185.947316,4.030309635,1,3,Human Error
249,3,Industrial Mixer,Industrial Machinery,8/26/2023,823,Passed,388,435,6,"Hill, Thomas and Neal",1,4,Megan Allen,Night Shift,Repairs,none,1258.489972,7.925225824,0,1,Human Error
250,5,Air Conditioners,Home Appliances,5/11/2023,691,Passed,480,211,8,"Adams, Murphy and Wilson",4,6,Taylor Davis,Morning Shift,Repairs,1.3900213,838.2271692,10.80036649,4,1,Material Shortage
251,4,Diesel Generator,Industrial Machinery,9/20/2023,340,Passed,339,1,1,"Barnes, Butler and Russell",8,6,Taylor Davis,Morning Shift,Repairs,2.34541605,817.1420863,10.3447958,4,2,Human Error
252,1,Refrigerator,Home Appliances,9/26/2023,966,Passed,373,593,4,"Yang, Walker and George",3,7,Victor Hernandez,Night Shift,Repairs,1.785039319,802.2803132,7.838892366,3,3,Material Shortage
253,6,Microwave Ovens,Home Appliances,4/4/2023,423,In-Between,218,205,6,"Hill, Thomas and Neal",6,7,Victor Hernandez,Night Shift,Repairs,4.038381456,1239.339252,10.98141365,4,5,Human Error
254,1,Refrigerator,Home Appliances,9/27/2023,488,In-Between,93,395,4,"Yang, Walker and George",5,9,Natasha Thomas,Morning Shift,Repairs,1.654667904,1194.8978,4.196190778,2,4,Material Shortage
255,5,Air Conditioners,Home Appliances,8/28/2023,375,Passed,374,1,5,Hawkins-Miller,6,9,Natasha Thomas,Morning Shift,Repairs,1.916176434,852.8385115,5.879295232,5,3,Material Shortage
256,5,Air Conditioners,Home Appliances,5/26/2023,277,In-Between,141,136,2,"Moore, Hernandez and Munoz",9,10,Cheryl Nunez,Night Shift,Routine Maintenance,3.639061628,1224.748865,3.352629755,2,1,Human Error
257,7,Industrial Cookers,Industrial Machinery,5/20/2023,506,Passed,87,419,7,Ferguson Inc,1,6,Taylor Davis,Morning Shift,Routine Maintenance,2.820250707,1225.693425,8.338901192,3,1,Human Error
258,7,Industrial Cookers,Industrial Machinery,8/23/2023,262,Failed,68,194,1,"Barnes, Butler and Russell",2,8,Sarah Lloyd,Afternoon Shift,Routine Maintenance,1.334875953,1092.70839,9.891096182,4,3,Human Error
259,2,Washing Machine,Home Appliances,5/27/2023,899,Failed,304,595,4,"Yang, Walker and George",8,7,Victor Hernandez,Night Shift,Routine Maintenance,2.857840662,1210.748092,4.576669764,3,1,Human Error
260,3,Industrial Mixer,Industrial Machinery,7/6/2023,379,Failed,378,1,6,"Hill, Thomas and Neal",2,2,Ashley Herring,Night Shift,Repairs,1.413066547,1165.818692,8.465428684,5,3,Material Shortage
261,4,Diesel Generator,Industrial Machinery,6/28/2023,732,Passed,276,456,4,"Yang, Walker and George",8,2,Ashley Herring,Night Shift,Routine Maintenance,3.451496836,937.7411285,11.82200854,3,2,Human Error
262,6,Microwave Ovens,Home Appliances,5/26/2023,651,Passed,344,307,7,Ferguson Inc,7,4,Megan Allen,Night Shift,Routine Maintenance,4.463982202,1074.135114,8.896218145,3,5,Material Shortage
263,5,Air Conditioners,Home Appliances,7/3/2023,817,In-Between,157,660,9,Lawson-Herrera,5,1,Amber Powell,Morning Shift,Routine Maintenance,none,1188.785012,10.15708118,0,4,Technical Issues
264,6,Microwave Ovens,Home Appliances,7/4/2023,654,Passed,186,468,9,Lawson-Herrera,3,9,Natasha Thomas,Morning Shift,Routine Maintenance,3.043400111,860.4246443,8.696226213,4,2,Human Error
265,5,Air Conditioners,Home Appliances,9/9/2023,719,Failed,471,248,7,Ferguson Inc,10,3,Melissa Kim,Afternoon Shift,Routine Maintenance,4.362441967,1245.37622,7.339987796,5,1,Material Shortage
266,4,Diesel Generator,Industrial Machinery,6/27/2023,927,Failed,362,565,5,Hawkins-Miller,2,6,Taylor Davis,Morning Shift,Routine Maintenance,3.649187131,976.6289393,4.732093223,2,3,Material Shortage
267,7,Industrial Cookers,Industrial Machinery,6/22/2023,792,Passed,189,603,1,"Barnes, Butler and Russell",4,8,Sarah Lloyd,Afternoon Shift,Routine Maintenance,none,1198.669706,5.167188579,0,5,Human Error
268,6,Microwave Ovens,Home Appliances,6/10/2023,568,Passed,397,171,4,"Yang, Walker and George",5,1,Amber Powell,Morning Shift,Routine Maintenance,4.405305572,870.8159069,3.835034782,1,4,Material Shortage
269,4,Diesel Generator,Industrial Machinery,9/11/2023,662,Passed,334,328,6,"Hill, Thomas and Neal",1,10,Cheryl Nunez,Night Shift,Repairs,1.266197142,1175.290072,8.211747748,5,5,Material Shortage
270,4,Diesel Generator,Industrial Machinery,5/1/2023,400,Passed,199,201,3,Hartman-Banks,3,3,Melissa Kim,Afternoon Shift,Routine Maintenance,3.70715915,1024.588343,3.392674418,2,5,Material Shortage
271,7,Industrial Cookers,Industrial Machinery,8/4/2023,224,Passed,217,7,3,Hartman-Banks,5,9,Natasha Thomas,Morning Shift,Repairs,none,906.5517552,9.932270375,0,2,Technical Issues
272,5,Air Conditioners,Home Appliances,7/30/2023,356,In-Between,355,1,2,"Moore, Hernandez and Munoz",7,1,Amber Powell,Morning Shift,Repairs,2.927661793,899.2670193,11.6278628,3,5,Technical Issues
273,3,Industrial Mixer,Industrial Machinery,8/26/2023,934,Passed,457,477,7,Ferguson Inc,2,3,Melissa Kim,Afternoon Shift,Routine Maintenance,3.447850511,1303.14949,7.305763352,5,4,Human Error
274,5,Air Conditioners,Home Appliances,5/23/2023,495,In-Between,386,109,2,"Moore, Hernandez and Munoz",7,1,Amber Powell,Morning Shift,Routine Maintenance,none,1034.366857,10.44454818,0,5,Material Shortage
275,7,Industrial Cookers,Industrial Machinery,8/17/2023,977,In-Between,165,812,6,"Hill, Thomas and Neal",5,3,Melissa Kim,Afternoon Shift,Routine Maintenance,3.49194186,1166.95479,5.900682806,3,2,Material Shortage
276,3,Industrial Mixer,Industrial Machinery,9/24/2023,772,Passed,262,510,9,Lawson-Herrera,3,8,Sarah Lloyd,Afternoon Shift,Repairs,none,1136.52729,10.22285254,0,3,Material Shortage
277,6,Microwave Ovens,Home Appliances,8/31/2023,612,In-Between,360,252,4,"Yang, Walker and George",10,8,Sarah Lloyd,Afternoon Shift,Routine Maintenance,2.300423721,1051.718584,6.049085921,3,4,Material Shortage
278,3,Industrial Mixer,Industrial Machinery,9/18/2023,433,Passed,432,1,1,"Barnes, Butler and Russell",9,4,Megan Allen,Night Shift,Routine Maintenance,1.337134862,997.0558086,7.668580625,5,5,Human Error
279,5,Air Conditioners,Home Appliances,9/9/2023,351,Passed,350,1,1,"Barnes, Butler and Russell",5,1,Amber Powell,Morning Shift,Routine Maintenance,4.299231723,984.4907549,5.844000549,5,5,Material Shortage
280,4,Diesel Generator,Industrial Machinery,6/5/2023,420,Passed,66,354,4,"Yang, Walker and George",7,3,Melissa Kim,Afternoon Shift,Routine Maintenance,4.375431239,953.4724965,5.79178409,2,1,Material Shortage
281,3,Industrial Mixer,Industrial Machinery,8/12/2023,733,Passed,468,265,5,Hawkins-Miller,3,1,Amber Powell,Morning Shift,Repairs,3.013897341,1175.154054,11.40420539,2,4,Human Error
282,6,Microwave Ovens,Home Appliances,8/26/2023,406,Failed,329,77,7,Ferguson Inc,8,8,Sarah Lloyd,Afternoon Shift,Repairs,2.852348474,1229.33984,9.680932361,3,4,Human Error
283,2,Washing Machine,Home Appliances,5/3/2023,330,Passed,329,1,6,"Hill, Thomas and Neal",10,7,Victor Hernandez,Night Shift,Repairs,2.439855238,1047.235794,3.618931098,3,5,Material Shortage
284,6,Microwave Ovens,Home Appliances,8/4/2023,630,Passed,210,420,7,Ferguson Inc,2,1,Amber Powell,Morning Shift,Routine Maintenance,3.535559163,1302.866079,11.79941485,3,1,Human Error
285,3,Industrial Mixer,Industrial Machinery,9/5/2023,805,Passed,334,471,3,Hartman-Banks,3,2,Ashley Herring,Night Shift,Repairs,4.443335594,1151.941272,7.218268199,2,5,Material Shortage
286,2,Washing Machine,Home Appliances,7/23/2023,999,Failed,285,714,7,Ferguson Inc,9,6,Taylor Davis,Morning Shift,Routine Maintenance,none,1273.510008,10.916898,0,3,Material Shortage
287,4,Diesel Generator,Industrial Machinery,8/28/2023,523,Passed,461,62,1,"Barnes, Butler and Russell",4,7,Victor Hernandez,Night Shift,Repairs,3.375146976,925.2331164,5.649641231,2,5,Technical Issues
288,7,Industrial Cookers,Industrial Machinery,7/14/2023,370,Passed,369,1,4,"Yang, Walker and George",3,9,Natasha Thomas,Morning Shift,Routine Maintenance,4.959008568,802.351572,7.54600606,1,2,Human Error
289,2,Washing Machine,Home Appliances,4/6/2023,428,Failed,427,1,4,"Yang, Walker and George",1,2,Ashley Herring,Night Shift,Repairs,2.51425397,1150.139068,10.43766129,3,1,Material Shortage
290,5,Air Conditioners,Home Appliances,7/21/2023,718,Passed,129,589,8,"Adams, Murphy and Wilson",10,3,Melissa Kim,Afternoon Shift,Repairs,3.88313218,805.3246304,6.90152828,5,5,Material Shortage
291,6,Microwave Ovens,Home Appliances,7/17/2023,448,Failed,447,1,6,"Hill, Thomas and Neal",3,6,Taylor Davis,Morning Shift,Repairs,1.803466829,895.8191477,11.25720552,4,5,Technical Issues
292,7,Industrial Cookers,Industrial Machinery,9/18/2023,954,Failed,411,543,9,Lawson-Herrera,5,9,Natasha Thomas,Morning Shift,Repairs,1.693893079,1283.822129,5.755047707,2,5,Technical Issues
293,2,Washing Machine,Home Appliances,9/26/2023,646,Passed,51,595,3,Hartman-Banks,9,6,Taylor Davis,Morning Shift,Routine Maintenance,1.897427687,1330.238095,7.284498192,3,3,Material Shortage
294,7,Industrial Cookers,Industrial Machinery,8/5/2023,464,Passed,394,70,10,Campbell-Wong,5,6,Taylor Davis,Morning Shift,Routine Maintenance,3.184998636,1132.234497,3.76197958,5,1,Material Shortage
295,7,Industrial Cookers,Industrial Machinery,7/10/2023,594,Passed,403,191,9,Lawson-Herrera,10,9,Natasha Thomas,Morning Shift,Routine Maintenance,3.275278678,925.0449228,8.111460421,3,1,Human Error
296,1,Refrigerator,Home Appliances,5/12/2023,159,Passed,125,34,1,"Barnes, Butler and Russell",1,1,Amber Powell,Morning Shift,Routine Maintenance,4.307139373,1133.341803,11.56528579,1,3,Human Error
297,4,Diesel Generator,Industrial Machinery,5/9/2023,362,Failed,361,1,8,"Adams, Murphy and Wilson",5,7,Victor Hernandez,Night Shift,Routine Maintenance,4.238868752,1334.485167,8.48354456,3,3,Human Error
298,6,Microwave Ovens,Home Appliances,7/28/2023,864,In-Between,102,762,8,"Adams, Murphy and Wilson",1,10,Cheryl Nunez,Night Shift,Routine Maintenance,1.395975388,1085.762785,4.111620362,4,2,Human Error
299,7,Industrial Cookers,Industrial Machinery,8/12/2023,458,In-Between,457,1,8,"Adams, Murphy and Wilson",7,5,David Floyd,Afternoon Shift,Repairs,none,1233.284792,6.939257415,0,1,Technical Issues
300,6,Microwave Ovens,Home Appliances,5/31/2023,832,In-Between,203,629,10,Campbell-Wong,9,7,Victor Hernandez,Night Shift,Routine Maintenance,1.164533747,812.5832696,6.416097493,5,5,Human Error
301,1,Refrigerator,Home Appliances,7/5/2023,439,Passed,438,1,10,Campbell-Wong,1,2,Ashley Herring,Night Shift,Routine Maintenance,3.809920871,913.5657372,6.627084117,3,1,Technical Issues
302,7,Industrial Cookers,Industrial Machinery,6/5/2023,671,Passed,310,361,4,"Yang, Walker and George",10,6,Taylor Davis,Morning Shift,Repairs,1.944920426,811.5208744,6.225890514,5,5,Material Shortage
303,5,Air Conditioners,Home Appliances,6/9/2023,591,Passed,92,499,5,Hawkins-Miller,8,3,Melissa Kim,Afternoon Shift,Repairs,3.26039654,1166.529399,6.542772516,2,5,Material Shortage
304,2,Washing Machine,Home Appliances,5/28/2023,379,Passed,121,258,5,Hawkins-Miller,8,2,Ashley Herring,Night Shift,Routine Maintenance,2.664946647,1086.80935,10.6037074,3,4,Human Error
305,2,Washing Machine,Home Appliances,6/25/2023,756,Passed,99,657,8,"Adams, Murphy and Wilson",3,4,Megan Allen,Night Shift,Repairs,2.805538121,1294.073472,6.763720901,3,4,Material Shortage
306,5,Air Conditioners,Home Appliances,5/29/2023,739,Passed,172,567,4,"Yang, Walker and George",7,4,Megan Allen,Night Shift,Repairs,3.195407488,1010.175061,5.629580235,4,2,Technical Issues
307,6,Microwave Ovens,Home Appliances,8/27/2023,252,Passed,251,1,6,"Hill, Thomas and Neal",4,8,Sarah Lloyd,Afternoon Shift,Repairs,none,1081.132809,7.977480846,0,4,Technical Issues
308,6,Microwave Ovens,Home Appliances,7/23/2023,253,Passed,88,165,7,Ferguson Inc,8,8,Sarah Lloyd,Afternoon Shift,Repairs,3.406601623,828.425602,8.216345856,5,2,Human Error
309,4,Diesel Generator,Industrial Machinery,8/21/2023,404,Passed,403,1,2,"Moore, Hernandez and Munoz",5,8,Sarah Lloyd,Afternoon Shift,Routine Maintenance,4.980143627,1089.4959,7.2223186,2,1,Human Error
310,3,Industrial Mixer,Industrial Machinery,6/29/2023,924,In-Between,280,644,3,Hartman-Banks,8,1,Amber Powell,Morning Shift,Routine Maintenance,3.514683105,1019.527094,5.188026248,2,2,Human Error
311,7,Industrial Cookers,Industrial Machinery,8/29/2023,439,Passed,198,241,4,"Yang, Walker and George",6,2,Ashley Herring,Night Shift,Routine Maintenance,4.586361407,1124.297327,7.235533431,2,4,Human Error
312,5,Air Conditioners,Home Appliances,6/7/2023,743,Passed,148,595,1,"Barnes, Butler and Russell",8,3,Melissa Kim,Afternoon Shift,Repairs,1.779162611,1118.631955,5.830778165,3,3,Material Shortage
313,3,Industrial Mixer,Industrial Machinery,9/4/2023,997,Passed,96,901,8,"Adams, Murphy and Wilson",8,3,Melissa Kim,Afternoon Shift,Routine Maintenance,4.979717793,1090.240329,9.318614446,1,4,Material Shortage
314,6,Microwave Ovens,Home Appliances,9/18/2023,787,Passed,200,587,10,Campbell-Wong,8,9,Natasha Thomas,Morning Shift,Routine Maintenance,2.37602095,1237.126523,9.30255048,1,2,Human Error
315,7,Industrial Cookers,Industrial Machinery,6/2/2023,575,Passed,266,309,8,"Adams, Murphy and Wilson",6,4,Megan Allen,Night Shift,Routine Maintenance,2.502985335,1217.993833,7.955429892,2,2,Technical Issues
316,6,Microwave Ovens,Home Appliances,5/7/2023,833,Failed,331,502,7,Ferguson Inc,10,8,Sarah Lloyd,Afternoon Shift,Routine Maintenance,3.036544939,1271.939761,11.72095952,5,1,Technical Issues
317,5,Air Conditioners,Home Appliances,8/29/2023,189,Passed,81,108,9,Lawson-Herrera,7,3,Melissa Kim,Afternoon Shift,Routine Maintenance,3.515298373,908.5470772,7.149940241,2,1,Material Shortage
318,2,Washing Machine,Home Appliances,5/30/2023,715,Failed,319,396,9,Lawson-Herrera,5,9,Natasha Thomas,Morning Shift,Routine Maintenance,3.266701965,1091.10368,8.498685433,2,3,Material Shortage
319,7,Industrial Cookers,Industrial Machinery,6/24/2023,378,Passed,377,1,3,Hartman-Banks,4,8,Sarah Lloyd,Afternoon Shift,Repairs,4.428745832,1205.915615,10.6667097,5,3,Technical Issues
320,5,Air Conditioners,Home Appliances,4/24/2023,840,Failed,321,519,1,"Barnes, Butler and Russell",9,4,Megan Allen,Night Shift,Routine Maintenance,3.577927778,912.8119955,10.97676684,3,2,Material Shortage
321,5,Air Conditioners,Home Appliances,6/10/2023,138,Passed,102,36,3,Hartman-Banks,3,7,Victor Hernandez,Night Shift,Routine Maintenance,3.175039248,918.193425,6.919443579,1,4,Material Shortage
322,5,Air Conditioners,Home Appliances,9/29/2023,943,Passed,228,715,1,"Barnes, Butler and Russell",3,6,Taylor Davis,Morning Shift,Repairs,none,1261.954813,9.105678992,0,1,Technical Issues
323,1,Refrigerator,Home Appliances,5/22/2023,802,Passed,153,649,5,Hawkins-Miller,9,4,Megan Allen,Night Shift,Routine Maintenance,3.445083276,1031.289789,7.864654361,2,5,Technical Issues
324,7,Industrial Cookers,Industrial Machinery,6/27/2023,357,Failed,356,1,9,Lawson-Herrera,6,8,Sarah Lloyd,Afternoon Shift,Routine Maintenance,3.143288116,1338.500199,9.852239254,4,3,Technical Issues
325,4,Diesel Generator,Industrial Machinery,7/24/2023,360,Passed,359,1,7,Ferguson Inc,8,8,Sarah Lloyd,Afternoon Shift,Repairs,none,1265.752113,3.541193603,0,1,Human Error
326,4,Diesel Generator,Industrial Machinery,9/11/2023,492,Passed,491,1,10,Campbell-Wong,5,7,Victor Hernandez,Night Shift,Routine Maintenance,3.60664808,987.1403973,11.62251334,3,1,Technical Issues
327,3,Industrial Mixer,Industrial Machinery,4/8/2023,781,Failed,495,286,10,Campbell-Wong,5,6,Taylor Davis,Morning Shift,Repairs,2.623068938,1046.242994,6.24982043,3,1,Material Shortage
328,1,Refrigerator,Home Appliances,8/3/2023,126,Passed,52,74,10,Campbell-Wong,6,5,David Floyd,Afternoon Shift,Routine Maintenance,3.346948085,851.7559106,10.60996839,5,4,Human Error
329,6,Microwave Ovens,Home Appliances,4/13/2023,675,Passed,436,239,3,Hartman-Banks,5,4,Megan Allen,Night Shift,Repairs,4.398252976,1235.347445,11.97033021,1,2,Material Shortage
330,3,Industrial Mixer,Industrial Machinery,7/4/2023,935,In-Between,486,449,10,Campbell-Wong,9,10,Cheryl Nunez,Night Shift,Repairs,4.370711071,1022.627134,5.030305357,3,1,Human Error
331,2,Washing Machine,Home Appliances,5/14/2023,902,Passed,383,519,9,Lawson-Herrera,9,2,Ashley Herring,Night Shift,Routine Maintenance,none,812.9530001,7.491453897,0,4,Material Shortage
332,1,Refrigerator,Home Appliances,4/18/2023,834,Failed,214,620,5,Hawkins-Miller,9,6,Taylor Davis,Morning Shift,Routine Maintenance,1.431073944,1304.034372,3.122616911,2,4,Human Error
333,3,Industrial Mixer,Industrial Machinery,4/3/2023,226,Failed,160,66,8,"Adams, Murphy and Wilson",2,7,Victor Hernandez,Night Shift,Repairs,2.13255487,1034.300109,9.597209334,4,5,Material Shortage
334,3,Industrial Mixer,Industrial Machinery,9/28/2023,573,Passed,474,99,10,Campbell-Wong,7,1,Amber Powell,Morning Shift,Routine Maintenance,3.358536612,1090.661776,7.669275541,5,3,Technical Issues
335,2,Washing Machine,Home Appliances,6/30/2023,525,Passed,499,26,1,"Barnes, Butler and Russell",3,1,Amber Powell,Morning Shift,Routine Maintenance,3.089323226,800.7316372,6.147523652,4,4,Technical Issues
336,6,Microwave Ovens,Home Appliances,6/5/2023,939,Passed,179,760,4,"Yang, Walker and George",8,4,Megan Allen,Night Shift,Repairs,2.137304755,1329.691945,8.392087898,4,2,Material Shortage
337,2,Washing Machine,Home Appliances,7/26/2023,477,Failed,476,1,7,Ferguson Inc,10,5,David Floyd,Afternoon Shift,Routine Maintenance,4.571148537,883.4063392,3.743140301,4,4,Human Error
338,6,Microwave Ovens,Home Appliances,4/21/2023,240,Passed,163,77,9,Lawson-Herrera,5,3,Melissa Kim,Afternoon Shift,Repairs,none,1101.249375,6.631168295,0,2,Technical Issues
339,5,Air Conditioners,Home Appliances,7/11/2023,474,Passed,429,45,1,"Barnes, Butler and Russell",3,3,Melissa Kim,Afternoon Shift,Routine Maintenance,1.612482249,1144.327405,9.292131068,4,4,Technical Issues
340,2,Washing Machine,Home Appliances,4/2/2023,659,Failed,459,200,9,Lawson-Herrera,8,2,Ashley Herring,Night Shift,Routine Maintenance,2.46251494,848.4475667,3.561845616,3,2,Material Shortage
341,2,Washing Machine,Home Appliances,5/5/2023,653,Passed,428,225,9,Lawson-Herrera,8,8,Sarah Lloyd,Afternoon Shift,Routine Maintenance,4.295516859,1277.432787,9.913676483,3,3,Human Error
342,1,Refrigerator,Home Appliances,7/24/2023,486,Passed,485,1,1,"Barnes, Butler and Russell",9,2,Ashley Herring,Night Shift,Routine Maintenance,3.694276095,939.5986026,3.985957731,2,5,Material Shortage
343,2,Washing Machine,Home Appliances,5/13/2023,634,Failed,134,500,2,"Moore, Hernandez and Munoz",4,9,Natasha Thomas,Morning Shift,Routine Maintenance,3.345114716,859.9860242,11.02396648,1,4,Human Error
344,4,Diesel Generator,Industrial Machinery,8/31/2023,596,In-Between,435,161,10,Campbell-Wong,8,5,David Floyd,Afternoon Shift,Repairs,none,1114.649449,10.91135811,0,1,Human Error
345,6,Microwave Ovens,Home Appliances,9/16/2023,436,In-Between,350,86,1,"Barnes, Butler and Russell",6,6,Taylor Davis,Morning Shift,Routine Maintenance,4.560611476,843.8820932,5.833301819,2,1,Technical Issues
346,4,Diesel Generator,Industrial Machinery,5/20/2023,486,In-Between,399,87,4,"Yang, Walker and George",4,8,Sarah Lloyd,Afternoon Shift,Repairs,1.754051396,1025.340501,7.043014991,3,4,Material Shortage
347,6,Microwave Ovens,Home Appliances,6/14/2023,455,Passed,454,1,10,Campbell-Wong,8,4,Megan Allen,Night Shift,Routine Maintenance,1.502534339,935.1388272,9.840164931,3,4,Material Shortage
348,7,Industrial Cookers,Industrial Machinery,5/16/2023,639,Passed,262,377,2,"Moore, Hernandez and Munoz",6,3,Melissa Kim,Afternoon Shift,Routine Maintenance,none,1289.443101,10.08316756,0,2,Human Error
349,1,Refrigerator,Home Appliances,6/5/2023,223,In-Between,83,140,5,Hawkins-Miller,7,8,Sarah Lloyd,Afternoon Shift,Routine Maintenance,2.513871978,1001.669265,10.02148856,1,5,Material Shortage
350,5,Air Conditioners,Home Appliances,4/6/2023,494,Passed,493,1,10,Campbell-Wong,8,10,Cheryl Nunez,Night Shift,Routine Maintenance,3.155329712,1078.383083,8.160777798,5,2,Human Error
351,3,Industrial Mixer,Industrial Machinery,9/25/2023,202,Passed,193,9,2,"Moore, Hernandez and Munoz",6,10,Cheryl Nunez,Night Shift,Repairs,4.38376564,988.6346268,4.792622774,3,2,Human Error
352,4,Diesel Generator,Industrial Machinery,9/8/2023,505,Passed,410,95,6,"Hill, Thomas and Neal",9,5,David Floyd,Afternoon Shift,Routine Maintenance,3.52208958,1252.816097,10.08193766,5,5,Human Error
353,6,Microwave Ovens,Home Appliances,6/17/2023,571,Failed,428,143,2,"Moore, Hernandez and Munoz",2,1,Amber Powell,Morning Shift,Routine Maintenance,3.899830773,1317.724011,4.389326992,3,5,Technical Issues
354,3,Industrial Mixer,Industrial Machinery,6/13/2023,395,In-Between,252,143,8,"Adams, Murphy and Wilson",7,8,Sarah Lloyd,Afternoon Shift,Repairs,none,1167.020364,8.021913518,0,1,Technical Issues
355,2,Washing Machine,Home Appliances,5/29/2023,863,Failed,445,418,7,Ferguson Inc,8,3,Melissa Kim,Afternoon Shift,Repairs,4.051604844,845.3873343,11.41998213,2,3,Material Shortage
356,1,Refrigerator,Home Appliances,7/4/2023,904,Passed,477,427,2,"Moore, Hernandez and Munoz",8,3,Melissa Kim,Afternoon Shift,Routine Maintenance,3.912547334,1320.625747,11.01306003,1,3,Human Error
357,3,Industrial Mixer,Industrial Machinery,5/21/2023,465,Passed,464,1,9,Lawson-Herrera,8,6,Taylor Davis,Morning Shift,Routine Maintenance,3.344979987,867.0429837,11.02609914,1,3,Human Error
358,7,Industrial Cookers,Industrial Machinery,4/2/2023,498,Passed,346,152,4,"Yang, Walker and George",9,7,Victor Hernandez,Night Shift,Routine Maintenance,2.698134083,1036.606449,9.991052875,3,1,Human Error
359,5,Air Conditioners,Home Appliances,5/3/2023,163,Failed,162,1,10,Campbell-Wong,6,9,Natasha Thomas,Morning Shift,Routine Maintenance,none,1092.765511,11.56667969,0,2,Technical Issues
360,2,Washing Machine,Home Appliances,5/10/2023,573,Passed,273,300,3,Hartman-Banks,3,1,Amber Powell,Morning Shift,Routine Maintenance,3.352148362,1142.501927,3.344630509,1,3,Human Error
361,7,Industrial Cookers,Industrial Machinery,6/7/2023,585,Passed,465,120,9,Lawson-Herrera,1,10,Cheryl Nunez,Night Shift,Routine Maintenance,none,1003.543741,5.760238374,0,5,Material Shortage
362,1,Refrigerator,Home Appliances,5/7/2023,783,Passed,314,469,4,"Yang, Walker and George",3,3,Melissa Kim,Afternoon Shift,Repairs,1.39007391,1080.574886,10.66222842,4,1,Technical Issues
363,4,Diesel Generator,Industrial Machinery,8/7/2023,135,Passed,72,63,1,"Barnes, Butler and Russell",10,8,Sarah Lloyd,Afternoon Shift,Repairs,4.947770023,1075.840393,3.93273049,1,1,Material Shortage
364,7,Industrial Cookers,Industrial Machinery,4/4/2023,629,Passed,477,152,8,"Adams, Murphy and Wilson",4,7,Victor Hernandez,Night Shift,Repairs,1.75663116,1292.897477,8.683664954,3,5,Human Error
365,4,Diesel Generator,Industrial Machinery,8/10/2023,321,Failed,320,1,10,Campbell-Wong,2,9,Natasha Thomas,Morning Shift,Routine Maintenance,none,809.5971147,8.131236754,0,1,Technical Issues
366,6,Microwave Ovens,Home Appliances,6/23/2023,484,In-Between,175,309,5,Hawkins-Miller,2,10,Cheryl Nunez,Night Shift,Routine Maintenance,4.364588087,1318.731181,4.434152077,1,5,Human Error
367,2,Washing Machine,Home Appliances,8/23/2023,212,Passed,211,1,9,Lawson-Herrera,4,6,Taylor Davis,Morning Shift,Routine Maintenance,4.196432599,918.7240073,4.365627903,5,5,Technical Issues
368,3,Industrial Mixer,Industrial Machinery,9/26/2023,271,Passed,270,1,1,"Barnes, Butler and Russell",8,8,Sarah Lloyd,Afternoon Shift,Routine Maintenance,4.445923212,1143.591751,11.55023452,5,1,Material Shortage
369,5,Air Conditioners,Home Appliances,5/29/2023,477,Passed,200,277,2,"Moore, Hernandez and Munoz",7,2,Ashley Herring,Night Shift,Routine Maintenance,none,841.8486208,10.97637476,0,1,Human Error
370,5,Air Conditioners,Home Appliances,4/30/2023,856,Passed,219,637,1,"Barnes, Butler and Russell",6,2,Ashley Herring,Night Shift,Routine Maintenance,4.071854365,1154.09295,6.305542473,5,3,Technical Issues
371,7,Industrial Cookers,Industrial Machinery,8/8/2023,408,Passed,407,1,9,Lawson-Herrera,1,5,David Floyd,Afternoon Shift,Repairs,none,1095.113647,8.83508117,0,5,Technical Issues
372,6,Microwave Ovens,Home Appliances,6/5/2023,754,In-Between,220,534,4,"Yang, Walker and George",7,10,Cheryl Nunez,Night Shift,Routine Maintenance,1.971899403,1291.400876,11.57424789,5,1,Technical Issues
373,2,Washing Machine,Home Appliances,5/28/2023,452,Passed,419,33,8,"Adams, Murphy and Wilson",7,5,David Floyd,Afternoon Shift,Repairs,4.449589739,1158.010248,11.12469076,5,1,Human Error
374,5,Air Conditioners,Home Appliances,8/14/2023,248,Passed,247,1,4,"Yang, Walker and George",2,9,Natasha Thomas,Morning Shift,Routine Maintenance,1.380277241,938.1222368,5.84325008,3,3,Material Shortage
