Loan ID,Borrower ID,Borrower Name,Gender,Borrower Age,Marital Status,Borrower Address,Borrower Email,Borrower Phone Number,Loan Amount,Loan Type,Interest Rate,Loan Term,Loan Status,Credit Score,Income,Employment Status,Loan Origination Date,Loan Paid Date
1472,2849,Ryan Foley,Male,38,Married,"4271 Timothy Trafficway Apt. 483
New Matthew, VT 63216",ryan.foley@yapi.com,-1184,26308.8,Personal Loan,2.91,3 years,In Arrears,641,59845,Employed,11/1/2018, 
1236,3935,Brian Williams,Male,55,Married,"4620 Jackson Run
Jennyville, MT 37582",brian.williams@yapi.com,992-220-7297,20199.7,Personal Loan,7.64,1 years,In Arrears,605,50063,Employed,1/4/2021, 
157,3034,David Harper,Male,31,Married,"40244 Linda Place
Haynesberg, IN 73838",david.harper@yapi.com,2503745889,23452.09,Mortgage,8.17,1 years,Paid Off,823,46603,Employed,8/19/2021,5/19/2023 0:00
158,1909,Charles Hall,Male,35,Married,"2951 Susan Turnpike
Gonzalesport, CO 66005",charles.hall@yapi.com,(684)622-0025x25154,23614.15,Auto Loan,2.46,4 years,Paid Off,757,52985,Employed,4/21/2019,2/21/2024 0:00
81,3965,Hannah Matthews,Male,37,Not Married,"9206 Vanessa Center
Moorechester, DE 77198",hannah.matthews@yapi.com,481-560-9659x244,16341,Mortgage,2.8,4 years,Paid Off,810,29141,Employed,12/8/2020,10/8/2025 0:00
898,2650,Michael Stuart,Female,55,Not Married,"32096 Davis Keys
Williamhaven, TN 78626",michael.stuart@yapi.com,841-566-5020x17219,6614.59,Mortgage,9.7,3 years,Defaulted,551,9587,Unemployed,11/11/2018, 
1347,3042,Sean Carter,Male,36,Married,"28339 Anderson Station Apt. 952
Vargasfurt, SD 19372",sean.carter@yapi.com,(758)249-3034,72944.12,Mortgage,6.71,1 years,In Arrears,672,73383,Self-Employed,2/18/2021, 
418,3236,Katherine Fowler,Male,46,Not Married,"55205 Jose Walk
New Michael, MH 03980",katherine.fowler@yapi.com,701-983-2079,65264.42,Commercial Loan,6.68,4 years,Paid Off,683,76169,Employed,12/15/2018,5/15/2023 0:00
1336,2018,Sharon Brown,Male,30,Married,"7692 Natasha Run
Elizabethside, PR 22322",sharon.brown@yapi.com,771.600.2692,30467.02,Personal Loan,8.24,1 years,Paid Off,697,68139,Employed,12/31/2019,9/30/2021 0:00
1146,3517,Kyle Jordan,Male,36,Married,"0561 Massey Springs
South Jamie, AR 12358",kyle.jordan@yapi.com,496.273.4056x005,13341.58,Auto Loan,8.92,2 years,Paid Off,838,28747,Employed,7/15/2019,11/15/2021 0:00
148,2628,Colleen Vasquez,Male,48,Married,"21172 Whitehead Row
Robleston, MS 17460",colleen.vasquez@yapi.com,+1-498-873-8125x2742,52480.42,Auto Loan,6.55,1 years,Paid Off,748,63266,Employed,7/25/2021,4/25/2023 0:00
497,2969,Katelyn Romero,Male,52,Not Married,"7681 King Court
New Davidton, DE 94387",katelyn.romero@yapi.com,(850)501-1201x44124,31287.94,Commercial Loan,2.48,3 years,Paid Off,718,53588,Employed,7/22/2019,7/22/2022 0:00
460,2986,Alicia Caldwell,Male,49,Married,"7713 Joan Mall
West Gary, DE 27451",alicia.caldwell@yapi.com,213.597.8082,61196.42,Commercial Loan,4.23,4 years,Paid Off,703,68630,Employed,6/11/2021,3/11/2026 0:00
1033,3227,Brenda Miller,Male,28,Married,"436 Carmen Springs Apt. 920
North Elizabethton, NH 55001",brenda.miller@yapi.com,001-756-240-8146x1866,6378.09,Commercial Loan,6.2,4 years,Paid Off,844,31588,Self-Employed,3/6/2019,4/6/2023 0:00
416,1762,Christopher Howe,Male,47,Married,"Unit 7220 Box 5582
DPO AE 59901",christopher.howe@yapi.com,+1-638-526-8236x23327,6341.15,Mortgage,5.83,1 years,In Arrears,558,13710,Unemployed,10/11/2020, 
725,1997,David Lopez,Female,44,Married,"771 Shelley Drive Suite 934
Port Alanberg, GU 10325",david.lopez@yapi.com,(661)468-5636x243,15695.77,Mortgage,5.06,1 years,In Arrears,505,18704,Unemployed,9/17/2020, 
403,3753,Laura Anderson MD,Female,51,Married,"USNV Scott
FPO AA 13738",laura.anderson.md@yapi.com,001-397-328-4934x6756,7841.78,Auto Loan,8.9,1 years,Defaulted,373,19507,Unemployed,2/6/2020, 
736,3550,Kyle Hill,Female,46,Married,"5111 Kevin Curve Suite 991
West Mariahmouth, CO 91991",kyle.hill@yapi.com,001-590-211-6866x54929,9660.39,Auto Loan,4.42,4 years,Paid Off,724,60528,Self-Employed,1/2/2020,1/2/2024 0:00
1319,1621,Matthew Jones,Male,50,Married,"358 Joanne Road Apt. 187
Aaronborough, WV 63083",matthew.jones@yapi.com,845-842-8980x841,30594.9,Mortgage,5.1,1 years,Paid Off,785,36175,Self-Employed,8/21/2019,2/21/2021 0:00
1112,2204,Louis Byrd,Female,32,Not Married,"62416 Horton Mission
North Christopherport, MO 88407",louis.byrd@yapi.com,+1-211-985-7812x4535,56381.83,Personal Loan,8.13,4 years,Paid Off,612,56466,Employed,10/4/2018,10/4/2022 0:00
749,2240,Melody Pennington,Male,40,Not Married,"72042 Obrien Mills
Christinabury, ME 28463",melody.pennington@yapi.com,001-600-496-6817,22065.56,Auto Loan,8.26,2 years,In Arrears,830,39369,Employed,4/8/2020, 
1357,3437,Victoria Brown,Male,34,Not Married,"6193 William Mountain Apt. 898
Lake Gregorychester, FM 64213",victoria.brown@yapi.com,+1-315-575-5390x835,9668.66,Personal Loan,9.1,2 years,In Arrears,571,9846,Unemployed,12/14/2019, 
1221,1877,Michael Carey,Female,51,Married,"98410 Robin Falls
South Kimberly, FL 36107",michael.carey@yapi.com,(754)824-3597x4869,8493.02,Auto Loan,9.35,4 years,Defaulted,833,34456,Employed,10/4/2018, 
854,3955,Emily Mcconnell,Male,39,Not Married,"96861 Spencer Trafficway
South Jacob, KS 94981",emily.mcconnell@yapi.com,8038655562,59683.66,Commercial Loan,2.36,3 years,Paid Off,754,67798,Self-Employed,7/5/2019,1/5/2023 0:00
271,3655,Anne Brown,Female,48,Married,"4338 Gonzalez Roads Apt. 639
Karenburgh, NJ 17485",anne.brown@yapi.com,248-415-1225x0733,12067.44,Commercial Loan,8.31,2 years,In Arrears,676,26567,Employed,5/17/2021, 
24,3539,Shannon Wilson,Male,44,Married,"1093 Stone Track
West Terribury, MT 87850",shannon.wilson@yapi.com,749-220-4486x1612,36262.35,Commercial Loan,6.95,1 years,Defaulted,641,69922,Employed,8/2/2019, 
847,1676,Regina Simpson,Female,36,Married,"329 Bass Parkways
Melaniefurt, VI 51732",regina.simpson@yapi.com,514-893-8190x3987,50466.96,Mortgage,6.66,1 years,Defaulted,710,73710,Employed,11/15/2020, 
361,1782,Karen Moore,Male,39,Married,"17462 Hopkins Station Apt. 011
East Ann, DC 95550",karen.moore@yapi.com,+1-827-738-6065x21204,65327.07,Auto Loan,5.06,1 years,Paid Off,659,77955,Employed,9/7/2019,2/7/2021 0:00
974,2786,Sara Grant,Male,51,Not Married,"PSC 2843, Box 3602
APO AP 89404",sara.grant@yapi.com,001-250-989-5228x8880,48056.27,Commercial Loan,3.8,1 years,Paid Off,843,57525,Self-Employed,10/19/2019,1/19/2021 0:00
938,1830,Jacqueline King,Male,35,Not Married,"214 Young Extensions Suite 925
Nealshire, GA 07526",jacqueline.king@yapi.com,720-874-9377,17910.79,Commercial Loan,7.09,3 years,Paid Off,468,18182,Unemployed,6/10/2020,7/10/2023 0:00
1347,3530,Jordan Haynes,Male,40,Not Married,"25333 Taylor Loaf
Jamesview, CT 98910",jordan.haynes@yapi.com,(337)723-4551x128,24144.04,Mortgage,7.96,2 years,Paid Off,810,32027,Employed,4/6/2021,3/6/2024 0:00
864,2532,Matthew Petersen,Female,43,Not Married,"33366 Dean Hill
West Patriciaborough, AR 06816",matthew.petersen@yapi.com,958-321-5002x2611,59658.08,Personal Loan,5.9,4 years,Paid Off,681,65523,Self-Employed,8/28/2020,2/28/2025 0:00
101,3047,Kathleen Suarez,Male,35,Married,"60137 Jennifer Springs Suite 972
Port Michael, IA 98466",kathleen.suarez@yapi.com,(772)765-8367x180,1250.94,Commercial Loan,3.88,4 years,In Arrears,400,17915,Unemployed,9/24/2018, 
1224,3962,Sandra Macias,Male,49,Married,"761 Kim Road Apt. 257
Stantonland, VI 98980",sandra.macias@yapi.com,8895963926,55651.95,Personal Loan,8.53,3 years,Paid Off,659,60144,Employed,7/2/2020,6/2/2024 0:00
1046,3060,Dana Morton,Male,41,Married,"3115 Matthew Coves
Port Larry, FL 17169",dana.morton@yapi.com,(789)549-7452x44788,40897.52,Personal Loan,7.34,3 years,In Arrears,761,68657,Self-Employed,11/4/2020, 
1084,3420,Kimberly Barker,Male,35,Married,"530 Jacqueline Via Apt. 391
Michellemouth, FL 01421",kimberly.barker@yapi.com,(205)926-0377x792,1991.86,Mortgage,8.12,1 years,In Arrears,769,62203,Employed,12/17/2020, 
513,3308,Scott Anderson,Male,38,Not Married,"2157 Garcia Inlet Apt. 025
Stephanieport, MP 51548",scott.anderson@yapi.com,235.485.6780x72530,15974.24,Mortgage,7.57,1 years,Paid Off,749,68259,Self-Employed,11/27/2019,9/27/2021 0:00
830,2190,Jacob Mendoza,Female,29,Married,"50415 Rush Squares
Leeport, CO 95992",jacob.mendoza@yapi.com,(929)487-5790x5683,45739.96,Personal Loan,7.35,1 years,Defaulted,792,69007,Self-Employed,7/11/2020, 
943,3453,Kaylee Richards,Male,50,Married,"36333 David Rapids Suite 881
Port Tyler, LA 73526",kaylee.richards@yapi.com,001-611-852-5913x19150,8848.54,Mortgage,5.62,3 years,Paid Off,610,35898,Employed,9/9/2020,4/9/2024 0:00
522,2948,Joseph Dawson,Male,47,Not Married,"93356 Christine Fords Suite 861
Port Josephside, WI 32519",joseph.dawson@yapi.com,317-269-2930,6068.66,Auto Loan,9.91,3 years,Paid Off,602,35974,Employed,3/9/2020,1/9/2024 0:00
1272,3843,Allison Hart,Male,39,Married,"55841 Meagan Trail
Grahammouth, GA 06295",allison.hart@yapi.com,209-876-3360x2134,59928.78,Commercial Loan,7.13,4 years,Paid Off,697,71823,Self-Employed,11/10/2019,8/10/2024 0:00
888,2286,Eric Navarro,Male,37,Married,"PSC 8044, Box 2458
APO AP 83593",eric.navarro@yapi.com,(611)645-4138,25299.14,Mortgage,8.15,4 years,Paid Off,780,28956,Employed,9/4/2020,12/4/2024 0:00
543,2028,Christopher Herrera,Female,36,Not Married,"368 Brown Parkway Apt. 864
New Tammyberg, FL 24394",christopher.herrera@yapi.com,5669376830,4539.12,Mortgage,4.05,3 years,Paid Off,765,44638,Employed,8/18/2020,7/18/2024 0:00
263,2087,Douglas Blackburn,Female,30,Not Married,"139 Erik Point Suite 267
Port Jimview, NJ 34898",douglas.blackburn@yapi.com,+1-288-228-2848x21061,3181,Auto Loan,4.28,2 years,Paid Off,664,71232,Employed,5/18/2020,11/18/2022 0:00
1114,2333,Chelsea Green,Male,30,Married,"895 Hall Rapids
Port Meagan, IL 15532",chelsea.green@yapi.com,615.248.0391x7717,1537.97,Commercial Loan,4.9,1 years,Paid Off,530,8986,Unemployed,7/21/2021,4/21/2023 0:00
298,2293,Charles Griffin,Male,29,Married,"47782 Horne Throughway Apt. 693
Brightside, AK 66442",charles.griffin@yapi.com,(383)680-5168,40596.23,Mortgage,5.06,1 years,Paid Off,687,54977,Employed,11/25/2018,11/25/2019 0:00
653,2129,Micheal Monroe,Male,48,Not Married,"432 Angel Lake Apt. 630
Mooreland, IL 29528",micheal.monroe@yapi.com,4458177262,14941.47,Personal Loan,9.6,2 years,Paid Off,592,15286,Unemployed,9/24/2018,3/24/2021 0:00
440,2606,Eric Morrison,Male,33,Not Married,"99256 Cox Wells Suite 362
North Dawn, GU 82507",eric.morrison@yapi.com,(437)936-1658x4718,33002.29,Commercial Loan,6.48,3 years,Paid Off,681,69774,Employed,2/28/2020,12/28/2023 0:00
818,3498,Rachel Fox,Male,31,Married,"141 Andrew Junction
West Kayla, WV 31000",rachel.fox@yapi.com,2689172269,13008.55,Commercial Loan,4.82,2 years,Paid Off,833,27497,Employed,6/24/2020,8/24/2022 0:00
1301,3739,Shane Ramsey,Male,28,Married,"40691 Campbell Ford Suite 169
Boltonside, OK 12206",shane.ramsey@yapi.com,781.662.6845,44923.04,Commercial Loan,6.34,2 years,Defaulted,660,54023,Employed,10/3/2019, 
444,2286,Lisa Brown,Female,38,Married,"7702 Munoz Place
New Cynthiafort, GU 41711",lisa.brown@yapi.com,394-793-4998,26167.44,Auto Loan,6.55,2 years,In Arrears,626,31387,Employed,4/10/2021, 
1184,2872,David Bradley,Male,35,Married,"81823 Sawyer Streets Suite 087
West Shari, AL 17333",david.bradley@yapi.com,+1-920-374-2889x077,34449.94,Commercial Loan,8.47,3 years,In Arrears,841,70629,Employed,6/7/2019, 
1038,1635,Ian Erickson,Male,41,Not Married,"3464 Renee Springs
South Edwardfurt, NH 31576",ian.erickson@yapi.com,001-222-821-6262x283,2798.19,Personal Loan,2.5,3 years,In Arrears,619,38547,Employed,6/19/2020, 
113,3271,Catherine Duncan,Male,48,Not Married,"Unit 7149 Box 4686
DPO AE 82721",catherine.duncan@yapi.com,-8471,51742.49,Commercial Loan,6.49,4 years,Paid Off,650,67025,Employed,5/21/2019,6/21/2023 0:00
495,3719,Victor Lamb,Male,28,Not Married,"030 John Rue Suite 656
Crawfordburgh, ND 85145",victor.lamb@yapi.com,695.384.9607x4757,12197.05,Mortgage,9.44,4 years,Defaulted,816,70357,Employed,5/5/2020, 
1171,2498,Franklin Pacheco,Male,44,Not Married,"5222 Kelli Extensions Apt. 119
Owenfurt, NE 24305",franklin.pacheco@yapi.com,(200)580-7281,1947.14,Personal Loan,9.66,1 years,Paid Off,508,11073,Unemployed,6/25/2021,11/25/2022 0:00
688,1722,Sandra Conner,Male,39,Not Married,"813 Paul Plaza Suite 809
New John, CT 73832",sandra.conner@yapi.com,001-457-864-3008x796,24447.19,Mortgage,7.48,1 years,In Arrears,735,76817,Self-Employed,5/17/2020, 
555,2484,Michael Sullivan,Male,37,Not Married,"14539 Donald Stravenue
East Joelton, OR 61472",michael.sullivan@yapi.com,361-526-5963,4705.04,Commercial Loan,4.61,2 years,Paid Off,765,27694,Employed,10/19/2019,7/19/2022 0:00
1435,3387,Stephen Bowen,Female,51,Married,"4507 Tristan Loaf
West Shelley, WY 48544",stephen.bowen@yapi.com,5047080169,10264.37,Mortgage,6.17,3 years,Paid Off,670,31526,Employed,3/9/2020,1/9/2024 0:00
1059,2947,Mitchell Young,Female,50,Not Married,"56733 Shelly Springs Suite 653
Debrafurt, MD 50111",mitchell.young@yapi.com,+1-675-487-5386x031,15186.69,Auto Loan,8.1,1 years,Defaulted,757,57681,Employed,6/17/2021, 
734,1765,Lisa Harris,Male,40,Not Married,"76452 Powers Trafficway
South Benjaminfort, MT 57150",lisa.harris@yapi.com,545.288.3407x038,3779.98,Personal Loan,2.02,3 years,In Arrears,729,60931,Employed,4/24/2019, 
635,1904,Paul Perez,Male,28,Not Married,"39110 Olivia Roads
Ryanfort, AZ 08301",paul.perez@yapi.com,(740)965-0829x1014,19489.77,Personal Loan,9.84,4 years,Paid Off,640,60497,Employed,4/24/2019,5/24/2023 0:00
908,2809,Margaret Briggs,Female,43,Not Married,"55279 Amber Fort
Lake Timothy, CT 65772",margaret.briggs@yapi.com,565.665.7993,63022.19,Commercial Loan,8.01,2 years,Defaulted,797,66927,Self-Employed,7/18/2019, 
693,2813,Nathan Charles,Male,53,Not Married,"Unit 5908 Box 6674
DPO AP 50982",nathan.charles@yapi.com,-7219,3206.34,Mortgage,4.39,2 years,Paid Off,499,9480,Unemployed,7/1/2020,5/1/2023 0:00
444,1779,Kristin Evans,Male,43,Not Married,"9927 Webster Drive
Angelafort, AS 55282",kristin.evans@yapi.com,001-593-931-4736,2101.78,Commercial Loan,9.85,2 years,Paid Off,695,79068,Employed,5/1/2020,5/1/2022 0:00
538,2237,Robert Clark,Male,35,Married,"423 Stephanie Views Suite 263
North Holly, VI 68595",robert.clark@yapi.com,001-402-439-0639,52678.77,Commercial Loan,4.81,2 years,Paid Off,730,61876,Employed,2/14/2020,2/14/2022 0:00
481,2054,Justin Guzman,Male,42,Married,"PSC 9285, Box 3383
APO AP 11813",justin.guzman@yapi.com,834.464.1392x711,47223,Commercial Loan,8.06,5 years,Paid Off,639,53102,Employed,9/27/2018,9/27/2023 0:00
1168,2797,Thomas White,Male,51,Married,"PSC 1638, Box 8421
APO AA 34975",thomas.white@yapi.com,001-742-828-5844x449,19925.01,Auto Loan,5.82,2 years,In Arrears,668,70177,Employed,7/29/2019, 
784,3431,Meredith Chen,Male,53,Married,"7135 Clarke Wall Apt. 834
New Anthony, MH 45388",meredith.chen@yapi.com,+1-914-992-4272x51347,12221.84,Mortgage,4.3,1 years,Paid Off,760,50533,Self-Employed,8/22/2021,6/22/2023 0:00
1139,2160,Samantha Jimenez,Male,40,Married,"6977 Daniel Circles Apt. 879
Lake Diana, OR 07058",samantha.jimenez@yapi.com,+1-364-947-0436x89676,13939.73,Mortgage,5.3,1 years,Paid Off,334,15701,Unemployed,5/14/2021,1/14/2023 0:00
531,2191,Matthew Ellis,Male,38,Not Married,"7979 Garza Circles Apt. 707
Deniseville, WI 62993",matthew.ellis@yapi.com,(808)879-4727x8303,2945.12,Personal Loan,6.77,4 years,Paid Off,369,13292,Unemployed,11/16/2019,6/16/2024 0:00
1191,1833,John Parker,Female,54,Married,"810 Cooper Club Suite 305
West Jamesmouth, NC 28613",john.parker@yapi.com,(800)403-0736,5840.93,Auto Loan,2.36,1 years,Paid Off,530,17539,Unemployed,11/27/2020,2/27/2022 0:00
511,3602,Ronald Boone Jr.,Female,38,Not Married,"PSC 3428, Box 5301
APO AA 75388",ronald.boone.jr.@yapi.com,6915022291,31036.57,Mortgage,2.26,3 years,Paid Off,815,72284,Self-Employed,5/18/2021,2/18/2025 0:00
1300,2961,Melvin Love,Female,35,Not Married,"Unit 9920 Box 8572
DPO AE 91881",melvin.love@yapi.com,576.800.8007x3579,29396.13,Mortgage,6.61,1 years,Paid Off,723,38211,Employed,10/11/2019,3/11/2021 0:00
734,2562,Michael Nguyen,Male,48,Married,"90323 Juan Valleys
Thomastown, CA 44455",michael.nguyen@yapi.com,(295)851-5738x23968,22878.75,Personal Loan,9.04,2 years,Paid Off,804,26237,Employed,1/21/2019,4/21/2021 0:00
1391,2956,Jim Reyes,Male,35,Married,"USS Hall
FPO AP 68238",jim.reyes@yapi.com,001-466-206-4690x93579,34332.87,Auto Loan,2.72,2 years,Paid Off,813,47349,Employed,12/20/2018,1/20/2021 0:00
1448,3744,Blake Hill,Male,44,Not Married,"784 West Valleys Suite 446
Port Sabrinafort, UT 85788",blake.hill@yapi.com,(407)567-6194x2664,29385.88,Mortgage,6.94,3 years,Paid Off,689,73319,Employed,2/2/2019,12/2/2022 0:00
935,3364,Russell Vazquez,Male,29,Married,"Unit 1609 Box 9890
DPO AA 29807",russell.vazquez@yapi.com,(854)743-5412x767,26019.02,Mortgage,4.55,1 years,Defaulted,823,51274,Employed,8/8/2019, 
1000,3360,Kelly Thomas,Female,36,Married,"601 Wilcox Manors Suite 699
East Sarahview, RI 41871",kelly.thomas@yapi.com,(368)742-7698x999,2583.45,Personal Loan,6.14,4 years,In Arrears,505,8994,Unemployed,3/13/2021, 
1226,3520,Elizabeth Wood,Male,50,Married,"60423 Laura Mission Apt. 657
Matthewchester, MO 57348",elizabeth.wood@yapi.com,7769041811,28761.93,Auto Loan,3.87,3 years,Paid Off,686,68023,Self-Employed,9/6/2021,6/6/2025 0:00
309,3562,Sharon Ross,Male,36,Married,"58725 Brenda Roads
South Ashleymouth, UT 17363",sharon.ross@yapi.com,406-980-9283,13792.66,Commercial Loan,4.86,3 years,Paid Off,306,19419,Unemployed,10/5/2020,9/5/2024 0:00
1046,2373,Brianna Robbins,Male,37,Married,"09772 Holly Way
Faulknermouth, FM 22794",brianna.robbins@yapi.com,481-208-9092,22133.13,Auto Loan,5.19,3 years,Paid Off,744,33643,Employed,9/8/2020,10/8/2023 0:00
659,2745,Emily Hayes,Male,46,Not Married,"90048 Hughes Parkway
West Brucetown, NE 26616",emily.hayes@yapi.com,3894693050,20619.84,Personal Loan,5.49,2 years,Paid Off,644,41198,Self-Employed,8/1/2020,3/1/2023 0:00
631,3685,Lisa Wilson,Male,29,Married,"58644 Moore Summit Apt. 874
North Matthew, WI 53055",lisa.wilson@yapi.com,001-615-368-2189x82827,4652.51,Personal Loan,9.45,4 years,In Arrears,450,14459,Unemployed,4/16/2019, 
1365,3376,Christina Short,Female,30,Married,"9289 Dixon Shores Suite 311
Tylerland, DC 26282",christina.short@yapi.com,+1-788-298-9636x217,10715.34,Commercial Loan,4.85,4 years,In Arrears,711,56238,Self-Employed,10/29/2019, 
641,1741,Wyatt James,Female,35,Not Married,"7241 Fox Motorway Suite 840
Coreymouth, MD 48809",wyatt.james@yapi.com,5452884656,67143.91,Personal Loan,8.49,1 years,Paid Off,739,79046,Employed,9/28/2020,9/28/2021 0:00
282,2995,James Duarte,Male,54,Married,"1352 Hill Roads Suite 171
Port Michelle, OK 24094",james.duarte@yapi.com,(953)553-8105x192,45134.36,Commercial Loan,2.45,4 years,Paid Off,749,56825,Employed,5/11/2019,5/11/2023 0:00
695,3969,Charles Jennings,Male,35,Married,"1014 Henderson Garden
Audreyshire, ND 92332",charles.jennings@yapi.com,(793)790-3481x167,6483.37,Mortgage,2.63,3 years,Paid Off,587,10150,Unemployed,3/12/2019,7/12/2022 0:00
767,3997,Courtney Sanchez,Female,55,Married,"7584 Andrew Way Suite 298
Lake Chadport, PR 51921",courtney.sanchez@yapi.com,001-449-702-4810x900,17995.92,Auto Loan,2.1,3 years,Paid Off,604,68345,Self-Employed,6/9/2019,12/9/2022 0:00
1492,1859,Kyle Pena,Female,53,Not Married,"03125 Jackson Islands
Lake Carl, NE 69012",kyle.pena@yapi.com,(499)508-0587x585,30918.24,Personal Loan,6.5,4 years,Defaulted,761,37033,Employed,6/21/2019, 
821,3443,Zachary Lindsey,Female,34,Not Married,"9225 Reginald Mission
New Kimberly, MI 94146",zachary.lindsey@yapi.com,866.465.2253x01859,12475.33,Auto Loan,2.92,3 years,Paid Off,692,42930,Employed,4/16/2021,8/16/2024 0:00
494,2295,Jordan Holt,Female,29,Not Married,"901 Christian Well Suite 930
Sandraville, OK 92339",jordan.holt@yapi.com,5173393933,59717.23,Personal Loan,5.91,4 years,Paid Off,764,77526,Employed,3/28/2020,3/28/2024 0:00
1448,2780,Joe Hampton,Male,54,Married,"PSC 0525, Box 0751
APO AE 64539",joe.hampton@yapi.com,470-964-4607x4663,23470.89,Commercial Loan,4.89,4 years,In Arrears,644,45519,Employed,1/17/2019, 
75,3001,Kathleen Adkins,Male,32,Married,"00557 Bush Mall
West Angelicaland, GA 39141",kathleen.adkins@yapi.com,001-333-508-8473x6278,36886.05,Personal Loan,5.25,2 years,Paid Off,734,37390,Employed,3/25/2020,1/25/2023 0:00
1135,3526,Jaime Holt,Male,42,Not Married,"04857 Richard Dam
North Barbaraton, AK 47381",jaime.holt@yapi.com,572-575-6697,33491.32,Commercial Loan,6.67,2 years,Paid Off,688,34824,Employed,10/10/2018,2/10/2021 0:00
1393,3466,Paula James,Male,53,Married,"97935 Ross Roads Apt. 312
Lake Richardton, AZ 85423",paula.james@yapi.com,001-825-355-8499,11827.61,Commercial Loan,8.69,4 years,Paid Off,624,44993,Self-Employed,2/20/2019,7/20/2023 0:00
1339,3912,Norman Bowman,Male,30,Not Married,"84312 Hoffman Tunnel
New Jessicahaven, DC 03504",norman.bowman@yapi.com,6125578388,7738.34,Commercial Loan,4.93,1 years,Defaulted,393,12637,Unemployed,6/13/2019, 
1366,1675,Jacqueline Graham,Female,30,Married,"1770 Jean Highway Apt. 064
New James, AR 15370",jacqueline.graham@yapi.com,5347903419,10017,Auto Loan,7.34,4 years,Paid Off,394,14869,Unemployed,10/10/2019,1/10/2024 0:00
641,2093,Christine Nelson,Female,50,Married,"38664 Graves Shore Suite 033
New Anthonymouth, MD 69095",christine.nelson@yapi.com,869.841.0502x36261,40423.92,Auto Loan,4.01,1 years,In Arrears,703,47713,Employed,3/30/2021, 
63,3427,John Parker,Male,31,Married,"414 Crystal Spur Apt. 509
Briannastad, DC 32412",john.parker@yapi.com,676-236-4011x2885,10582.46,Personal Loan,2.81,2 years,Paid Off,633,30278,Self-Employed,4/3/2019,2/3/2022 0:00
789,3712,Teresa Williams,Male,41,Married,"169 Bryant Square
Websterbury, FL 25673",teresa.williams@yapi.com,403.948.3221,50897.83,Auto Loan,8.37,1 years,Defaulted,674,73547,Employed,2/6/2019, 
1231,1864,James Schmidt,Female,55,Married,"9811 Karen Lodge
Johntown, TN 88583",james.schmidt@yapi.com,707-757-4497x133,6350.67,Personal Loan,3.8,2 years,Paid Off,383,17247,Unemployed,6/30/2019,10/30/2021 0:00
559,3558,Dominique Preston,Male,46,Married,"1021 Jenna Forge Suite 858
Rileychester, CA 44998",dominique.preston@yapi.com,387-243-0716x984,42017.03,Mortgage,3.16,1 years,Paid Off,813,51165,Employed,9/13/2019,6/13/2021 0:00
41,3018,Angela Vega,Male,39,Married,"4189 Patton Corners Suite 923
Rebeccafort, NH 11543",angela.vega@yapi.com,001-977-263-3312x6095,6784.18,Personal Loan,3.87,4 years,Paid Off,388,13687,Unemployed,3/4/2021,7/4/2025 0:00
1244,1672,Matthew Goodwin,Male,41,Married,"646 Murphy Skyway
Calebland, IL 89822",matthew.goodwin@yapi.com,-1350,12219.97,Commercial Loan,7.72,1 years,Paid Off,742,64365,Employed,2/8/2020,6/8/2021 0:00
1225,3906,Stephanie Cohen MD,Female,36,Married,"Unit 6970 Box 4262
DPO AA 54482",stephanie.cohen.md@yapi.com,607.252.7207x39761,27509.47,Mortgage,7.06,3 years,In Arrears,658,49275,Employed,12/10/2018, 
1100,3531,Crystal Goodwin,Female,42,Married,"4999 Jennifer Port
Barnesside, ID 03877",crystal.goodwin@yapi.com,(772)289-9115x12433,18248.62,Personal Loan,5.2,1 years,Paid Off,749,39876,Employed,5/29/2019,1/29/2021 0:00
86,3841,Michael Griffin,Male,31,Not Married,"502 Walker Cove Suite 165
Rodriguezland, RI 97528",michael.griffin@yapi.com,001-229-803-7955x7337,26291.07,Personal Loan,4.89,3 years,Paid Off,667,45178,Employed,9/29/2018,12/29/2021 0:00
8,3299,Joseph Willis,Male,53,Not Married,"50630 Rollins Drive
Rodgersshire, WY 03935",joseph.willis@yapi.com,(896)393-4302,47809.87,Auto Loan,8.84,1 years,In Arrears,722,52319,Employed,1/4/2019, 
505,3881,Christina Haley,Male,32,Not Married,"52529 Christopher Mission
Robinstad, GA 72510",christina.haley@yapi.com,001-315-652-8372x14842,24444.19,Auto Loan,8.94,3 years,Paid Off,764,75507,Employed,8/31/2020,5/31/2024 0:00
303,3664,Jennifer Santos,Male,46,Married,"327 Lisa Crossing
New Betty, WI 43183",jennifer.santos@yapi.com,(719)719-9043,13818.09,Auto Loan,5.91,2 years,Paid Off,363,19792,Unemployed,3/19/2020,11/19/2022 0:00
746,3105,Charles Ramirez,Male,49,Not Married,"99191 Smith Manors Suite 786
South Erik, MO 23150",charles.ramirez@yapi.com,(313)214-7339x87188,3700.79,Personal Loan,2.33,2 years,Paid Off,693,79551,Employed,1/5/2020,1/5/2022 0:00
662,3404,Miss Katherine Santos,Male,37,Not Married,"8978 Justin Gateway Suite 962
Lake Charlesland, MT 57779",miss.katherine.santos@yapi.com,954.267.4456x597,13668.56,Auto Loan,3.59,5 years,Paid Off,329,14926,Unemployed,5/5/2020,5/5/2025 0:00
